,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
1363,RS,ELETROELETRONICOS,100000.0,65000.0,674,3.948,0,12.6,72541.14,82782.0,0.0
1364,SP,SERVICOS DIVERSOS,80000.0,79000.0,417,4.7775,0,12.6,5549.712,6775.92,0.0
1365,RJ,VAREJO,30000.0,0.0,374,5.7855,1144,10.5,11002.9815,13363.0,10690.4
1366,PR,INDUSTRIA DIGITAL,614788.0,485000.0,381,4.053,0,9.45,82511.6775,90368.64,0.0
1367,SP,VAREJO,14000.0,10000.0,682,5.67,0,7.35,10903.578,12534.2,0.0
1368,SP,VAREJO,25600.0,0.0,387,4.5885,0,12.6,16645.6605,19630.56,0.0
1369,SP,ATACADO,10000.0,17000.0,656,5.7015,0,12.6,6697.236,8502.0,0.0
1370,RJ,TELECOM,155000.0,54000.0,328,4.6095,0,12.6,44667.5775,54085.92,0.0
1371,SP,BENS DE CONSUMO,20000.0,8000.0,397,4.9455,0,9.45,5479.698,6497.28,0.0
1372,MG,VAREJO,60000.0,43000.0,294,5.0295,0,12.6,5547.1605,6518.64,0.0
1373,SP,INDUSTRIA DIGITAL,30000.0,6000.0,357,5.145,1263,12.6,5549.649,6913.8,3411.93
1374,SP,VAREJO,300000.0,4000.0,155,4.158,1354,6.3,54290.6805,58977.42,58977.42
1375,SP,VAREJO,208000.0,376000.0,405,3.7485,0,15.75,33716.256,39447.75,0.0
1376,ES,SERVICOS DIVERSOS,30000.0,21000.0,421,5.5335,0,12.6,7815.1815,9926.76,0.0
1377,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,18000.0,570.0,728,5.5125,0,12.6,6698.307,8472.6,0.0
1378,SP,INDUSTRIA DIGITAL,60000.0,5000.0,313,4.662,1408,12.6,39054.8025,46161.96,24943.07
1379,SP,INDUSTRIA DA CONSTRUCAO,18000.0,11000.0,473,5.3235,955,12.6,8323.014,10247.28,2065.39
1380,SP,ATACADO,160000.0,285000.0,435,4.137,0,12.6,55792.002,64018.68,0.0
1381,SP,SERVICOS DE SAUDE,150000.0,0.0,668,3.9375,0,12.6,55794.123,63376.68,0.0
1382,RN,VAREJO,65000.0,829.0,521,4.6095,0,12.6,33293.2635,39580.8,0.0
1383,SP,BENS DE CONSUMO,599643.0,1918000.0,776,3.906,0,12.6,111606.768,127127.4,0.0
1384,PB,QUIMICA-PETROQUIMICA,160000.0,183000.0,121,5.376,0,18.9,57311.1105,78923.88,0.0
1385,CE,TELECOM,148000.0,0.0,498,3.9585,0,12.6,33291.5835,37937.28,0.0
1386,SP,DIVERSOS,70000.0,401000.0,628,4.095,1078,12.6,44655.9855,51955.56,34136.64
1387,SP,VAREJO,60000.0,86000.0,736,4.2945,1107,12.6,25523.169,29606.88,14654.86
1388,PR,TRANSPORTE,25000.0,18000.0,390,5.334,0,12.6,6658.596,8232.48,0.0
1389,PR,ATACADO,3310550.0,7317000.0,492,4.011,0,12.6,133885.584,151798.44,0.0
1390,SP,VAREJO,14000.0,0.0,292,5.2605,0,6.3,5408.4555,5973.54,0.0
1391,MS,SERVICOS DE ALOJAMENTO/ALIMENTACAO,80000.0,0.0,493,4.809,923,12.6,22197.0945,26905.44,11029.11
1392,CE,TELECOM,40000.0,0.0,287,5.313,0,6.3,10846.4685,11811.48,0.0
1393,BA,INDUSTRIA DA CONSTRUCAO,59000.0,66000.0,220,4.452,0,6.3,21632.562,23140.92,0.0
1394,SP,SERVICOS DIVERSOS,27000.0,0.0,121,5.964,148,12.6,11097.681,14208.48,0.0
