,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
1543,SP,VAREJO,100000.0,0.0,635,3.948,0,12.6,55790.07,63254.4,0.0
1544,SP,VAREJO,240000.0,444000.0,315,4.3365,1295,6.3,37994.5755,41218.74,20030.04
1545,SP,SERVICOS PROFISSIONAIS E TECNICOS,10000.0,0.0,429,5.7435,0,10.5,5502.9345,6894.4,0.0
1546,SP,SERVICOS ADMINISTRATIVOS,80000.0,37000.0,794,4.473,0,12.6,26634.5205,31402.44,0.0
1547,AM,VAREJO,150000.0,121000.0,492,4.494,0,12.6,66941.637,78028.68,0.0
1548,SP,SERVICOS ADMINISTRATIVOS,115000.0,46000.0,485,4.3995,0,12.6,33292.6545,39017.28,0.0
1549,SP,VAREJO,195624.0,250000.0,519,4.0425,0,12.6,55792.7685,63699.24,0.0
1550,MA,VAREJO,80000.0,45000.0,407,5.187,0,12.6,27907.866,34552.08,0.0
1551,RS,SERVICOS ADMINISTRATIVOS,30000.0,507.0,585,5.0715,0,12.6,16743.909,20548.8,0.0
1552,SP,SERVICOS ADMINISTRATIVOS,48000.0,0.0,320,5.103,1603,12.6,11098.773,13723.2,10207.83
1553,DF,VAREJO,300000.0,7071.0,428,4.3365,0,12.6,33295.6785,39276.72,0.0
1554,MG,SERVICOS DE SAUDE,160000.0,0.0,305,4.4835,0,12.6,33293.9565,39386.64,0.0
1555,MG,SERVICOS DE EDUCACAO,45000.0,56000.0,331,5.145,0,12.6,16645.797,20258.52,0.0
1556,AM,VAREJO,13000.0,3000.0,437,5.0085,0,9.45,9860.214,11309.94,0.0
1557,RJ,SERVICOS DE ALOJAMENTO/ALIMENTACAO,40000.0,9000.0,256,5.67,1137,12.6,11097.576,13963.32,2297.57
1558,PA,VAREJO,60000.0,0.0,238,4.725,1345,12.6,22193.5455,26295.48,19664.37
1559,GO,SERVICOS DE ALOJAMENTO/ALIMENTACAO,60000.0,85000.0,540,4.1685,1444,12.6,22194.6165,25619.64,25619.64
1560,ES,VAREJO,21000.0,0.0,429,4.557,0,12.6,3884.2965,4612.56,0.0
1561,SP,VAREJO,80000.0,66000.0,289,5.0505,0,12.6,27747.3525,34263.48,0.0
1562,PB,SERVICOS DE ALOJAMENTO/ALIMENTACAO,35000.0,76000.0,648,4.494,0,6.3,10816.3755,11595.54,0.0
1563,SP,VAREJO,30000.0,0.0,395,5.6595,1353,12.6,11097.8805,14005.32,14005.32
1564,SP,VAREJO,100000.0,85000.0,502,4.0635,1177,6.3,32458.524,35223.96,4490.91
1565,SP,INDUSTRIA DIGITAL,65000.0,0.0,635,4.368,0,9.45,21917.175,25068.33,0.0
1566,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,90000.0,102000.0,160,5.628,0,12.6,33292.581,41765.04,0.0
1567,SP,INDUSTRIA DA CONSTRUCAO,613417.0,352000.0,253,3.759,0,12.6,111657.357,127868.28,0.0
1568,ES,VAREJO,40000.0,74000.0,353,5.0925,0,12.6,16646.154,20258.88,0.0
1569,PB,VAREJO,25000.0,0.0,663,4.3785,1584,12.6,16645.9125,19444.2,17823.85
1570,SC,ATACADO,220000.0,182000.0,374,4.515,1571,12.6,33301.2645,40414.56,40414.56
1571,MG,VAREJO,95000.0,98000.0,354,4.578,1451,12.6,16647.8445,19906.32,19906.32
1572,PR,TRANSPORTE,100000.0,93000.0,828,4.5675,0,12.6,11097.45,13116.96,0.0
1573,RJ,VAREJO,65000.0,0.0,333,5.0505,0,12.6,22198.9005,27555.72,0.0
1574,SC,VAREJO,15700.0,5000.0,469,5.1765,0,6.3,5408.046,5904.66,0.0
1575,AM,VAREJO,70000.0,35000.0,316,4.662,0,11.55,44442.4365,52416.43,0.0
1576,PR,VAREJO,100000.0,37000.0,119,4.116,0,6.3,12981.801,13955.94,0.0
1577,RJ,TRANSPORTE,38000.0,2000.0,441,5.103,0,12.6,5548.767,6762.0,0.0
1578,BA,SERVICOS DE ALOJAMENTO/ALIMENTACAO,15000.0,4000.0,254,5.6175,1136,12.6,7665.84,9789.12,8157.6
1579,PR,VAREJO,12000.0,0.0,605,5.0715,0,12.6,13469.1585,16551.0,0.0
1580,SP,VAREJO,30000.0,10000.0,453,4.5675,8,12.6,19975.41,23610.48,0.0
1581,RS,VAREJO,90000.0,132000.0,370,3.9375,1532,12.6,55791.414,63255.84,42030.5
1582,SP,VAREJO,120000.0,0.0,307,4.284,1571,6.3,43425.858,47060.22,27273.1
1583,SP,SERVICOS PROFISSIONAIS E TECNICOS,15000.0,0.0,523,4.746,1352,6.3,5408.9175,5926.44,2858.27
1584,SP,ATACADO,150000.0,0.0,414,4.074,0,12.6,22329.0795,25979.04,0.0
1585,TO,INDUSTRIA DIGITAL,30000.0,0.0,345,5.4075,0,12.6,16737.714,20607.48,0.0
1586,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,70000.0,68000.0,346,4.5675,0,12.6,11097.3975,13116.84,0.0
1587,MG,BENS DE CONSUMO,212000.0,0.0,360,3.9795,0,6.3,27121.773,28532.46,0.0
1588,SP,ATACADO,80000.0,65000.0,370,4.893,0,6.3,21717.9165,24323.4,0.0
1589,PA,VAREJO,50000.0,68000.0,264,4.9245,1120,12.6,16646.8785,20177.16,8129.49
1590,ES,VAREJO,280000.0,206000.0,229,4.158,0,12.6,44631.7725,51212.88,0.0
1591,BA,VAREJO,45000.0,3000.0,312,4.8405,0,12.6,16648.926,20382.0,0.0
1592,RN,SERVICOS DE ALOJAMENTO/ALIMENTACAO,28000.0,4000.0,437,5.4915,0,12.6,5581.569,7030.32,0.0
1593,SP,SERVICOS ADMINISTRATIVOS,70000.0,18000.0,273,5.334,0,12.6,11157.8985,13658.4,0.0
1594,DF,TELECOM,18000.0,4000.0,549,4.788,0,12.6,11098.059,13370.52,0.0
1595,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,55000.0,7000.0,349,4.662,0,12.6,23712.969,28632.0,0.0
1596,ES,VAREJO,39000.0,34000.0,239,5.8065,1108,12.6,11156.8275,13935.12,10411.08
1597,SP,SERVICOS PROFISSIONAIS E TECNICOS,11000.0,366.0,547,5.1765,0,12.6,9989.175,12444.48,0.0
1598,DF,SERVICOS DE ALOJAMENTO/ALIMENTACAO,42000.0,31000.0,402,4.746,0,6.3,6491.1105,7160.64,0.0
1599,SP,VAREJO,12500.0,0.0,620,4.662,0,12.6,11158.5915,13189.2,0.0
1600,SP,INDUSTRIA DIGITAL,110000.0,4019.0,438,4.62,0,12.6,44659.23,53768.76,0.0
1601,SP,VAREJO,15000.0,0.0,690,5.0085,0,12.6,5548.683,6713.76,0.0
1602,SP,VAREJO,80000.0,186000.0,736,4.074,0,12.6,27750.198,32659.32,0.0
1603,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,30000.0,8000.0,452,5.313,0,12.6,22194.795,27326.28,0.0
1604,SP,SERVICOS PROFISSIONAIS E TECNICOS,25000.0,3000.0,152,5.082,0,12.6,5549.061,6798.24,0.0
1605,SP,TELECOM,200000.0,402000.0,382,4.6935,1318,12.6,55789.713,65942.16,54951.8
1606,SP,VAREJO,40000.0,0.0,476,4.7565,0,3.15,10681.7865,11316.21,0.0
1607,SP,SERVICOS DE EDUCACAO,195000.0,152000.0,614,3.2235,0,25.2,114910.2255,143908.8,0.0
1608,BA,SERVICOS DE ALOJAMENTO/ALIMENTACAO,20000.0,0.0,404,5.3655,1070,12.6,11096.904,13625.88,7913.85
1609,MG,BENS DE CONSUMO,400000.0,249000.0,642,3.9585,0,12.6,78010.9155,85403.64,0.0
1610,SP,INDUSTRIA DA CONSTRUCAO,20000.0,31000.0,242,5.712,0,11.55,8841.588,11146.08,0.0
1611,SP,SERVICOS DIVERSOS,25000.0,30000.0,471,4.977,1060,12.6,22191.3615,26370.12,15335.12
1612,PR,VAREJO,60000.0,2000.0,303,5.124,0,12.6,11097.6495,13560.12,0.0
1613,SP,SERVICOS PROFISSIONAIS E TECNICOS,44000.0,0.0,313,4.872,1129,12.6,11161.332,13479.6,11143.66
1614,ES,SERVICOS DE ALOJAMENTO/ALIMENTACAO,10000.0,3000.0,218,5.922,1170,12.6,5549.9115,7286.28,7286.28
1615,BA,VAREJO,30000.0,0.0,544,5.8485,0,12.6,11164.3875,14430.6,0.0
1616,SP,INDUSTRIA DIGITAL,30000.0,0.0,584,5.1765,598,12.6,13322.7675,16580.88,3718.36
1617,PR,INDUSTRIA DA CONSTRUCAO,50000.0,0.0,436,5.124,0,12.6,11157.8985,13500.84,0.0
1618,SP,VAREJO,70000.0,0.0,353,5.5545,0,12.6,5548.62,6910.56,0.0
1619,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,150000.0,186000.0,702,4.9875,0,12.6,39070.6155,47771.76,0.0
1620,SP,VAREJO,80000.0,32000.0,393,4.5675,0,12.6,33292.2765,39350.76,0.0
1621,RJ,SERVICOS ADMINISTRATIVOS,20000.0,0.0,320,5.082,0,12.6,11097.849,13560.36,0.0
1622,MS,VAREJO,35000.0,6006.0,214,5.1975,0,12.6,5549.0715,6848.16,0.0
1623,SP,VAREJO,40000.0,1000.0,277,4.641,0,12.6,5548.263,6528.48,0.0
1624,MA,VAREJO,28000.0,0.0,343,5.3445,0,6.3,10816.9215,11980.2,0.0
1625,SP,VAREJO,600000.0,358000.0,276,5.0505,1443,12.6,22199.3625,27628.2,27628.2
1626,AM,VAREJO,12000.0,0.0,388,5.67,0,12.6,5583.4485,7213.68,0.0
1627,SP,SERVICOS PROFISSIONAIS E TECNICOS,15000.0,0.0,410,5.607,0,12.6,5548.998,6992.4,0.0
1628,SP,ATACADO,45000.0,0.0,193,6.7095,0,12.6,11424.0735,14722.32,0.0
1629,SP,VAREJO,32000.0,7000.0,719,4.5675,0,12.6,11097.429,13116.96,0.0
1630,RJ,SERVICOS DE ALOJAMENTO/ALIMENTACAO,25000.0,17000.0,473,4.9035,0,12.6,11097.3345,13349.52,0.0
1631,SP,VAREJO,199000.0,99000.0,348,4.6305,0,9.45,38521.9275,43886.52,0.0
1632,DF,SERVICOS DE ALOJAMENTO/ALIMENTACAO,20000.0,2000.0,316,4.494,1056,12.6,5548.368,6491.04,2963.34
1633,SP,SERVICOS ADMINISTRATIVOS,120000.0,99000.0,411,3.36,0,18.9,57331.5225,68317.74,0.0
1634,MA,INDUSTRIA DIGITAL,40000.0,139000.0,709,3.99,0,12.6,16650.039,19485.96,0.0
1635,GO,VAREJO,30000.0,21000.0,342,4.956,1114,12.6,33288.4545,39703.08,29777.31
1636,SP,SERVICOS DIVERSOS,12000.0,9000.0,428,5.082,0,12.6,5549.3445,6843.6,0.0
1637,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,150000.0,258000.0,161,4.0005,0,12.6,55830.999,64969.8,0.0
1638,RS,SERVICOS DIVERSOS,15000.0,4000.0,425,5.6385,0,12.6,5580.183,7010.88,0.0
1639,SP,TRANSPORTE,40000.0,16000.0,361,5.586,787,12.6,7797.09,9751.92,6270.97
1640,MA,VAREJO,70000.0,0.0,336,4.893,0,12.6,11159.253,13395.0,0.0
1641,SP,ATACADO,100000.0,1000.0,486,4.2735,0,12.6,44635.605,51682.8,0.0
1642,PE,ENERGIA,67000.0,73000.0,169,5.6175,0,12.6,11098.5315,14089.44,0.0
1643,PR,BENS DE CONSUMO,420000.0,1022000.0,274,4.704,0,12.6,44636.3715,53004.72,0.0
1644,PR,SERVICOS ADMINISTRATIVOS,120000.0,1000.0,298,4.557,0,6.3,10817.0475,11690.7,0.0
1645,SP,BENS DE CONSUMO,100000.0,8000.0,440,4.6095,0,12.6,16651.299,20423.4,0.0
1646,CE,BENS DE CONSUMO,2000000.0,204000.0,442,3.8535,0,18.9,80222.4045,97389.72,0.0
1647,SP,ATACADO,45000.0,54000.0,379,4.9875,0,12.6,11097.6915,13462.8,0.0
1648,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,30000.0,0.0,145,6.657,0,12.6,5549.9325,7611.12,0.0
1649,RJ,SERVICOS ADMINISTRATIVOS,22000.0,2000.0,709,4.4835,0,12.6,22194.564,26079.24,0.0
1650,PE,SERVICOS PROFISSIONAIS E TECNICOS,85000.0,61000.0,164,4.389,0,12.6,16645.986,19465.56,0.0
1651,MG,SERVICOS DIVERSOS,30000.0,0.0,213,5.25,1156,12.6,8880.291,11269.32,10262.79
1652,SP,SERVICOS ADMINISTRATIVOS,17000.0,0.0,830,5.691,0,6.3,10853.4195,12272.22,0.0
1653,BA,VAREJO,180000.0,90000.0,645,4.3995,0,12.6,11097.282,12977.04,0.0
1654,PR,VAREJO,50000.0,2000.0,229,5.229,0,12.6,22200.234,28058.28,0.0
1655,RJ,TRANSPORTE,120000.0,122000.0,337,4.2735,324,12.6,22200.738,26529.96,7676.04
1656,GO,SERVICOS DE ALOJAMENTO/ALIMENTACAO,95000.0,123000.0,543,4.0425,1354,12.6,33292.2765,38201.28,35017.84
1657,AM,VAREJO,55000.0,0.0,360,4.5255,0,12.6,11099.109,13302.0,0.0
1658,ES,VAREJO,60000.0,69000.0,220,5.0715,0,12.6,5549.0925,6798.36,0.0
1659,DF,VAREJO,31000.0,2000.0,483,4.8825,0,12.6,13316.9295,16019.52,0.0
1660,SC,ATACADO,40000.0,0.0,616,4.242,0,6.3,7571.067,8011.8,0.0
1661,SC,SERVICOS DE ALOJAMENTO/ALIMENTACAO,19000.0,9000.0,409,5.019,1057,12.6,11167.0125,13879.8,6597.58
1662,SP,TRANSPORTE,60000.0,7000.0,586,4.5885,0,9.45,16438.947,19132.47,0.0
1663,AM,VAREJO,40000.0,0.0,173,6.2685,0,6.3,6489.8085,7350.78,0.0
1664,PA,VAREJO,33000.0,0.0,678,4.389,0,3.15,16019.0835,16447.35,0.0
1665,SP,VAREJO,80000.0,98000.0,263,4.452,0,12.6,22198.827,26585.4,0.0
1666,PR,INDUSTRIA DA CONSTRUCAO,30000.0,0.0,158,4.662,1108,6.3,5430.2325,6057.24,4962.78
1667,SP,SERVICOS DE SAUDE,65000.0,13000.0,536,4.6515,0,12.6,39056.2935,46190.04,0.0
1668,RJ,BENS DE CONSUMO,15000.0,950.0,487,5.628,0,12.6,5548.725,6950.4,0.0
1669,SP,SERVICOS DIVERSOS,7500.0,272.0,376,5.607,0,6.3,2163.819,2478.84,1573.49
1670,RS,VAREJO,50000.0,0.0,218,5.292,0,6.3,21697.4205,23798.16,0.0
1671,SC,VAREJO,450000.0,271000.0,102,4.389,378,6.3,21637.0245,23563.68,8121.62
1672,SP,VAREJO,30000.0,0.0,239,6.951,0,12.6,7811.6325,10488.12,0.0
1673,SP,BENS DE CONSUMO,50000.0,28000.0,343,5.166,0,12.6,16649.2515,20825.04,0.0
1674,SP,VAREJO,65000.0,43000.0,637,4.6725,0,12.6,44633.1375,52755.36,0.0
1675,SP,VAREJO,180000.0,147000.0,499,4.6095,0,18.9,57302.112,73799.1,0.0
1676,RS,SERVICOS PROFISSIONAIS E TECNICOS,40000.0,7000.0,429,5.0085,0,12.6,16646.637,20236.32,0.0
1677,MA,VAREJO,90000.0,94000.0,405,4.3575,0,3.15,16018.128,16341.36,0.0
1678,TO,SERVICOS DE EDUCACAO,100000.0,294000.0,497,4.5255,0,6.3,27043.8735,29329.32,0.0
1679,RN,VAREJO,40000.0,0.0,446,5.4495,1232,12.6,11166.2355,14203.08,11782.29
1680,SC,INDUSTRIA DA CONSTRUCAO,60000.0,48000.0,193,5.565,0,12.6,22200.4335,28682.52,0.0
1681,RJ,SERVICOS DE ALOJAMENTO/ALIMENTACAO,23000.0,0.0,160,6.447,2,12.6,11099.0985,14880.0,0.0
1682,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,28000.0,14000.0,323,5.4285,1221,12.6,5549.0295,6930.36,6930.36
1683,PB,VAREJO,40000.0,29000.0,497,4.7145,0,12.6,11097.2085,13194.0,0.0
1684,SP,SERVICOS PROFISSIONAIS E TECNICOS,15000.0,978.0,211,5.8905,0,7.35,5450.7915,6267.87,0.0
1685,RS,SERVICOS PROFISSIONAIS E TECNICOS,30000.0,15000.0,420,5.7855,1123,10.5,11059.944,13657.2,10925.76
1686,RO,TRANSPORTE,75000.0,29000.0,155,4.7355,1025,12.6,16650.1755,20426.88,13432.8
1687,SP,VAREJO,38000.0,86000.0,848,4.8615,0,12.6,16645.986,19980.96,0.0
1688,SP,BENS DE CAPITAL,60000.0,0.0,231,5.208,1231,12.6,27894.9405,33905.64,17127.59
1689,MA,VAREJO,300000.0,32000.0,177,4.893,423,6.3,27143.655,30247.14,5753.9
1690,RS,SERVICOS DIVERSOS,45000.0,11000.0,227,6.069,1303,12.6,5578.6605,7086.72,5844.3
1691,SP,INDUSTRIA DIGITAL,65000.0,26000.0,308,4.935,0,11.55,11052.1635,13376.88,0.0
1692,PB,VAREJO,30000.0,2000.0,259,5.7225,0,12.6,11160.324,14084.16,0.0
1693,SP,SERVICOS DIVERSOS,18000.0,2000.0,443,4.7775,0,12.6,5548.704,6635.88,0.0
1694,SP,VAREJO,180000.0,2000.0,454,4.305,1219,12.6,55818.8295,65712.72,51211.24
1695,SP,VAREJO,80000.0,243000.0,696,4.2315,1109,12.6,16647.204,19433.52,7891.58
1696,DF,SERVICOS DE ALOJAMENTO/ALIMENTACAO,70000.0,87000.0,463,4.2315,0,12.6,44648.1105,52068.84,0.0
1697,SP,VAREJO,60000.0,53000.0,628,4.6515,0,12.6,16743.8565,20044.08,0.0
1698,MA,SERVICOS ADMINISTRATIVOS,80000.0,0.0,434,4.431,0,12.6,11163.6105,13240.44,0.0
1699,SP,TRANSPORTE,1600000.0,63000.0,386,4.389,0,6.3,54246.0555,57772.26,0.0
1700,GO,SERVICOS DE ALOJAMENTO/ALIMENTACAO,22000.0,0.0,304,5.124,0,12.6,8877.5295,10762.8,0.0
1701,MA,VAREJO,400000.0,128000.0,718,3.8325,885,18.9,57306.081,69694.2,3871.9
1702,CE,INDUSTRIA DIGITAL,21000.0,41000.0,488,5.0085,0,6.3,5408.2035,5893.38,0.0
1703,MT,VAREJO,70000.0,0.0,211,5.0925,0,12.6,5580.5085,6813.6,0.0
1704,PA,VAREJO,150000.0,70000.0,148,5.124,0,12.6,16749.474,20899.8,971.02
1705,SP,VAREJO,65500.0,5000.0,408,4.9875,0,12.6,22196.097,27030.96,0.0
1706,SC,VAREJO,25000.0,0.0,646,4.6305,0,3.15,10678.605,10935.0,0.0
1707,BA,TRANSPORTE,200000.0,90000.0,696,4.893,0,12.6,33478.788,40235.52,0.0
1708,SP,SERVICOS DIVERSOS,300000.0,0.0,590,4.011,0,6.3,43419.0645,46469.58,0.0
1709,BA,TRANSPORTE,280000.0,38000.0,386,4.179,0,12.6,44630.376,51211.2,0.0
1710,MA,SERVICOS DIVERSOS,50000.0,0.0,311,5.229,923,12.6,11099.2665,13901.52,7545.01
1711,PR,TEXTEIS,20000.0,25000.0,757,4.998,0,12.6,7936.425,9852.0,0.0
1712,PR,SERVICOS DE ALOJAMENTO/ALIMENTACAO,22000.0,0.0,295,5.124,0,12.6,5578.944,6750.36,0.0
1713,SC,TRANSPORTE,30000.0,30000.0,187,6.699,1086,12.6,8878.3695,11874.24,8837.75
1714,SP,SERVICOS ADMINISTRATIVOS,300000.0,623000.0,133,4.1475,1044,6.3,43390.053,45754.5,32509.67
1715,SP,VAREJO,400000.0,44000.0,783,4.0215,1424,11.55,33318.768,37495.37,34086.7
1716,BA,SERVICOS ADMINISTRATIVOS,156450.0,48000.0,169,5.7435,0,12.6,44631.153,55825.44,0.0
1717,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,40000.0,11000.0,644,4.935,664,12.6,22194.291,26698.56,37.12
1718,ES,SIDERURGICA-METALURGIA,20000.0,9000.0,364,5.7225,0,12.6,11159.7885,14062.56,0.0
1719,MG,VAREJO,180000.0,52000.0,416,4.6305,0,6.3,16222.1535,17195.28,0.0
1720,SP,VAREJO,475000.0,0.0,426,3.843,0,6.3,16279.578,17243.4,0.0
1721,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,45000.0,8000.0,429,4.1895,0,12.6,8151.4125,9603.12,0.0
1722,AM,VAREJO,120000.0,210000.0,188,3.864,1182,12.6,33499.179,38687.52,38687.52
1723,PI,SERVICOS DE EDUCACAO,200000.0,513000.0,308,3.7275,0,12.6,111594.798,125442.24,0.0
1724,AM,SERVICOS DE SAUDE,30000.0,23000.0,163,6.174,0,12.6,8878.1385,11498.4,0.0
1725,RS,SERVICOS DE ALOJAMENTO/ALIMENTACAO,50000.0,0.0,155,6.1635,0,12.6,8927.7405,11514.96,0.0
1726,AM,INDUSTRIA DA CONSTRUCAO,80000.0,0.0,304,5.019,0,6.3,10818.5805,11789.16,0.0
1727,SP,VAREJO,50000.0,15000.0,622,4.494,0,12.6,22201.1265,26943.36,0.0
1728,SP,VAREJO,90000.0,18000.0,457,4.452,1106,12.6,44633.757,52136.88,13034.22
1729,SP,VAREJO,30000.0,0.0,251,5.229,1227,8.4,10910.4135,12582.72,6130.96
1730,MG,ATACADO,60000.0,5000.0,394,4.389,437,12.6,22201.557,26824.44,2086.85
1731,PI,VAREJO,27000.0,0.0,644,4.8615,405,12.6,22196.349,26869.68,21452.12
1732,PA,ATACADO,43000.0,3000.0,473,5.1765,1262,12.6,11159.7885,13636.08,11363.4
1733,PR,VAREJO,30000.0,26000.0,598,5.082,0,12.6,11099.1615,13759.56,0.0
1734,PR,VAREJO,65000.0,1000.0,409,5.2395,0,12.6,11097.198,13584.12,0.0
1735,BA,SERVICOS DE ALOJAMENTO/ALIMENTACAO,35000.0,0.0,742,4.83,0,12.6,11167.779,13750.2,8077.5
1736,SP,SERVICOS DIVERSOS,120000.0,33000.0,497,4.6515,0,6.3,27042.0675,29259.48,0.0
1737,DF,SERVICOS DE ALOJAMENTO/ALIMENTACAO,90000.0,0.0,539,4.389,0,12.6,22194.417,25925.4,0.0
1738,SP,ELETROELETRONICOS,300000.0,314000.0,348,4.158,0,10.5,55264.923,61611.1,0.0
1739,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,149000.0,13000.0,371,4.6095,0,12.6,33289.83,39126.72,0.0
1740,RJ,VAREJO,40000.0,33000.0,216,5.019,1389,6.3,5408.193,5893.38,5893.38
1741,PI,SERVICOS DE ALOJAMENTO/ALIMENTACAO,82000.0,4000.0,266,4.7985,0,12.6,5548.683,6635.88,0.0
1742,MS,VAREJO,150000.0,342000.0,328,4.515,0,12.6,22198.9845,26696.52,0.0
1743,SP,VAREJO,70000.0,92000.0,671,3.528,0,12.6,33292.0035,37069.44,0.0
1744,SP,TRANSPORTE,25000.0,0.0,534,5.2395,1200,6.3,5429.487,6163.08,4057.92
1745,GO,SERVICOS PROFISSIONAIS E TECNICOS,35000.0,0.0,583,5.397,0,12.6,11099.2875,14039.28,0.0
1746,SP,VAREJO,80000.0,381000.0,556,4.263,752,12.6,42536.1405,49405.32,13250.11
1747,MA,SERVICOS PROFISSIONAIS E TECNICOS,40000.0,19000.0,324,5.166,0,12.6,16649.64,20881.08,0.0
1748,SP,TRANSPORTE,200000.0,103000.0,262,4.7355,0,12.6,33297.6315,40458.6,0.0
1749,SP,VAREJO,1020000.0,82223.0,377,5.1345,0,12.6,44631.132,54002.76,0.0
1750,GO,VAREJO,100000.0,0.0,182,5.5545,764,12.6,11097.261,13821.12,0.0
1751,SP,VAREJO,20000.0,0.0,549,4.599,0,12.6,11097.2715,13116.72,0.0
1752,SC,VAREJO,20000.0,136000.0,737,4.5675,0,12.6,14426.6535,17052.0,0.0
1753,PR,SERVICOS DIVERSOS,50000.0,134000.0,418,4.851,0,6.3,10816.26,11709.96,0.0
1754,MG,VAREJO,10000.0,13000.0,252,5.229,1169,6.3,2162.748,2305.5,1143.78
1755,SC,INDUSTRIA DIGITAL,50000.0,14000.0,539,5.187,1136,12.6,14708.3265,18348.24,12165.84
1756,CE,VAREJO,11200.0,0.0,303,5.103,90,12.6,5549.1765,6825.36,2182.04
1757,MA,SERVICOS DE ALOJAMENTO/ALIMENTACAO,30000.0,0.0,603,5.229,0,12.6,22318.7265,27307.08,0.0
1758,AM,TELECOM,150000.0,267000.0,190,4.0635,0,12.6,27743.142,31833.96,0.0
1759,MS,VAREJO,25000.0,4000.0,417,5.46,0,12.6,5548.599,6870.96,0.0
1760,RJ,ATACADO,30000.0,270.0,455,4.9245,1050,12.6,16751.7945,20762.52,13661.86
1761,SP,SERVICOS ADMINISTRATIVOS,200000.0,74000.0,216,4.6725,0,12.6,44633.757,52756.08,0.0
1762,SP,SERVICOS ADMINISTRATIVOS,12000.0,298.0,637,5.6595,0,12.6,8878.0965,11170.68,0.0
1763,PR,BENS DE CONSUMO,800000.0,2637000.0,124,4.662,0,12.6,55792.5795,65945.64,0.0
1764,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,18000.0,294.0,316,5.7855,0,12.6,5549.7225,7196.28,0.0
1765,DF,SERVICOS DE ALOJAMENTO/ALIMENTACAO,20000.0,0.0,399,5.229,1135,12.6,11157.9405,13579.56,8855.85
1766,PR,VAREJO,150000.0,29000.0,357,4.179,1165,12.6,44637.306,51474.48,42895.4
1767,PI,VAREJO,30000.0,0.0,459,5.1345,0,12.6,5550.489,7044.48,0.0
1768,MS,TELECOM,25000.0,5000.0,421,5.7225,0,12.6,11099.151,14282.04,0.0
1769,MA,TRANSPORTE,130000.0,223000.0,642,3.549,1046,12.6,33291.132,37038.48,21341.62
1770,AM,VAREJO,10000.0,0.0,729,5.439,0,6.3,10851.4035,12077.28,0.0
1771,SP,VAREJO,120000.0,99000.0,440,4.683,0,12.6,19976.0715,23864.16,0.0
1772,MS,SERVICOS DE EDUCACAO,12567.0,0.0,454,4.5045,1483,12.6,5550.069,6712.68,3278.4
1773,RS,SERVICOS DE EDUCACAO,40000.0,23000.0,233,5.082,0,10.5,16504.341,19369.7,0.0
1774,PE,SERVICOS DE ALOJAMENTO/ALIMENTACAO,50000.0,0.0,482,4.956,885,12.6,11099.823,13761.48,2181.45
1775,PB,SERVICOS DE EDUCACAO,25000.0,0.0,521,4.5465,0,12.6,27744.7695,32908.2,0.0
1776,PR,VAREJO,25000.0,0.0,534,4.6725,0,12.6,11097.996,13266.0,0.0
1777,SP,INDUSTRIA DA CONSTRUCAO,400000.0,0.0,382,4.515,0,6.3,108486.357,116045.22,0.0
1778,MG,SERVICOS DIVERSOS,25000.0,4000.0,278,5.25,0,12.6,11099.886,14009.76,0.0
1779,SP,SERVICOS PROFISSIONAIS E TECNICOS,800000.0,529000.0,507,3.822,0,12.6,111583.605,125754.12,0.0
1780,SP,SERVICOS DE ALOJAMENTO/ALIMENTACAO,150000.0,121000.0,186,4.368,0,12.6,22194.669,25925.64,0.0
1781,RS,SERVICOS ADMINISTRATIVOS,100000.0,44000.0,387,4.1265,0,4.2,21445.578,21782.2,0.0
1782,SP,INDUSTRIA AUTOMOTIVA,1252000.0,4000.0,251,3.9585,0,10.5,110531.673,122087.6,0.0
1783,SP,SERVICOS DE EDUCACAO,80000.0,30000.0,475,5.019,0,12.6,50208.312,60324.48,0.0
1784,MG,INDUSTRIA DA CONSTRUCAO,90000.0,117000.0,318,5.2395,0,6.3,27122.151,29712.6,0.0
1785,SP,VAREJO,20000.0,0.0,397,5.3655,0,11.55,8841.6615,10954.35,0.0
1786,GO,TRANSPORTE,15000.0,0.0,541,5.796,0,5.25,5385.8805,5992.5,0.0
1787,SP,SERVICOS DE EDUCACAO,20000.0,1000.0,628,5.061,0,6.3,5409.327,5996.52,0.0
1788,SP,VAREJO,225000.0,130000.0,420,4.494,0,6.3,43436.1585,47594.46,0.0
1789,RO,VAREJO,35000.0,11000.0,541,4.6515,1324,12.6,8876.7735,10397.76,3465.92
